policy_id,vehicle_age,driver_age,bonus_malus,vehicle_class,region,displacement_cc,annual_mileage_km,exposure_usd,log10_exposure_usd,duration,log_duration,class_B,class_C,class_D,is_urban,is_suburban,capped_claims_usd,capped_claims_kusd
1,1.0,29.0,115.4,C,Urban,3911.0,47941.0,20000.0,4.301,0.6633,-0.410503,0.0,1.0,0.0,1.0,0.0,800.88,0.8009
2,16.0,19.0,248.9,C,Urban,4982.0,49570.0,38100.0,4.5809,0.8228,-0.195031,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,13.0,54.0,280.1,A,Urban,972.0,42492.0,33900.0,4.5302,0.6059,-0.500975,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,9.0,57.0,100.0,A,Rural,1829.0,24975.0,43900.0,4.6425,0.9093,-0.09509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9.0,62.0,63.2,A,Urban,3311.0,29633.0,95300.0,4.9791,0.812,-0.208226,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,18.0,73.0,181.9,A,Urban,2544.0,27649.0,115600.0,5.063,0.7279,-0.317617,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,1.0,46.0,282.2,B,Urban,3478.0,12005.0,33500.0,4.525,0.7382,-0.303588,1.0,0.0,0.0,1.0,0.0,5800.72,5.8007
8,14.0,66.0,245.2,D,Rural,3263.0,43449.0,39900.0,4.601,0.4741,-0.746258,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,4.0,59.0,260.6,A,Urban,4110.0,35411.0,178400.0,5.2514,0.7382,-0.303582,0.0,0.0,0.0,1.0,0.0,3166.87,3.1669
10,1.0,34.0,170.9,A,Urban,1098.0,33707.0,293500.0,5.4676,0.8514,-0.160864,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,11.0,67.0,120.5,C,Urban,2651.0,14915.0,204800.0,5.3113,0.7695,-0.261986,0.0,1.0,0.0,1.0,0.0,0.0,0.0
12,20.0,21.0,209.5,B,Urban,4412.0,11892.0,20100.0,4.3032,0.743,-0.297118,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,15.0,52.0,111.3,A,Rural,2324.0,44286.0,194200.0,5.2882,0.9402,-0.061624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,72.0,267.9,A,Suburban,2916.0,13074.0,330400.0,5.519,0.9242,-0.078813,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,15.0,56.0,109.1,D,Urban,891.0,8317.0,20000.0,4.301,0.7859,-0.240874,0.0,0.0,1.0,1.0,0.0,0.0,0.0
16,16.0,72.0,137.4,A,Rural,1742.0,33152.0,178300.0,5.2512,0.9448,-0.05679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,10.0,21.0,202.0,B,Urban,2747.0,36695.0,89800.0,4.9533,0.6909,-0.369814,1.0,0.0,0.0,1.0,0.0,0.0,0.0
18,2.0,48.0,196.0,C,Rural,2476.0,10383.0,57700.0,4.7612,0.6542,-0.424413,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,17.0,63.0,230.3,A,Urban,3802.0,14309.0,81600.0,4.9117,0.8063,-0.215288,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,9.0,55.0,181.2,C,Urban,3370.0,40494.0,106900.0,5.029,0.9565,-0.044467,0.0,1.0,0.0,1.0,0.0,23983.97,23.984
21,10.0,69.0,325.8,A,Rural,4497.0,46831.0,189300.0,5.2772,0.5589,-0.581786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,7.0,44.0,302.0,A,Rural,4390.0,26442.0,181700.0,5.2594,0.8033,-0.218967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3.0,57.0,313.7,A,Suburban,1813.0,40640.0,22500.0,4.3522,0.8601,-0.150657,0.0,0.0,0.0,0.0,1.0,3163.07,3.1631
24,19.0,42.0,238.9,D,Suburban,874.0,19373.0,44600.0,4.6493,0.6442,-0.439815,0.0,0.0,1.0,0.0,1.0,0.0,0.0
25,16.0,68.0,240.5,A,Rural,4389.0,36646.0,80800.0,4.9074,0.7274,-0.318309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,13.0,24.0,232.8,A,Suburban,2182.0,30075.0,263800.0,5.4213,0.7108,-0.341425,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,8.0,32.0,180.5,D,Urban,2258.0,42944.0,20000.0,4.301,0.9154,-0.088444,0.0,0.0,1.0,1.0,0.0,0.0,0.0
28,17.0,23.0,146.6,A,Urban,1465.0,39916.0,46000.0,4.6628,0.892,-0.114257,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,11.0,58.0,227.6,D,Suburban,3711.0,17786.0,22100.0,4.3444,0.7086,-0.344395,0.0,0.0,1.0,0.0,1.0,0.0,0.0
30,9.0,31.0,57.7,C,Suburban,1976.0,11725.0,25100.0,4.3997,0.5658,-0.569593,0.0,1.0,0.0,0.0,1.0,2184.55,2.1846
31,9.0,36.0,52.2,B,Rural,1542.0,41345.0,165000.0,5.2175,0.8094,-0.211468,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,4.0,66.0,305.5,C,Urban,2914.0,6476.0,49000.0,4.6902,0.8561,-0.155425,0.0,1.0,0.0,1.0,0.0,2685.7,2.6857
33,1.0,38.0,63.9,C,Urban,3952.0,35557.0,20000.0,4.301,0.8505,-0.161922,0.0,1.0,0.0,1.0,0.0,0.0,0.0
34,11.0,26.0,207.4,A,Urban,1932.0,26416.0,66100.0,4.8202,0.6216,-0.475406,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,18.0,19.0,234.5,D,Rural,3833.0,8388.0,382300.0,5.5824,0.9249,-0.078115,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,1.0,31.0,109.5,D,Urban,2740.0,35985.0,20000.0,4.301,0.8616,-0.148986,0.0,0.0,1.0,1.0,0.0,0.0,0.0
37,18.0,71.0,318.7,D,Rural,2496.0,26729.0,114900.0,5.0603,0.9686,-0.031881,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,17.0,49.0,107.0,B,Urban,2310.0,43705.0,262900.0,5.4198,0.806,-0.215721,1.0,0.0,0.0,1.0,0.0,2925.93,2.9259
39,5.0,75.0,315.4,B,Urban,1411.0,14388.0,72100.0,4.8579,0.7954,-0.228869,1.0,0.0,0.0,1.0,0.0,0.0,0.0
40,13.0,30.0,278.9,B,Rural,2197.0,5103.0,350700.0,5.5449,0.7814,-0.246648,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3.0,38.0,122.2,A,Urban,4493.0,10872.0,44200.0,4.6454,0.8839,-0.123437,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,15.0,27.0,95.2,B,Rural,1229.0,17132.0,238500.0,5.3775,0.7092,-0.343684,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,14.0,41.0,144.9,B,Urban,4825.0,34351.0,197400.0,5.2953,0.8844,-0.122889,1.0,0.0,0.0,1.0,0.0,0.0,0.0
44,7.0,50.0,169.4,C,Suburban,1251.0,21319.0,73100.0,4.8639,0.9299,-0.072647,0.0,1.0,0.0,0.0,1.0,8213.57,8.2136
45,1.0,64.0,123.7,A,Suburban,2321.0,10321.0,22800.0,4.3579,0.8071,-0.214366,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46,20.0,39.0,349.7,B,Rural,3346.0,49171.0,33700.0,4.5276,0.8092,-0.211649,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,9.0,62.0,118.9,B,Urban,4319.0,9870.0,20000.0,4.301,0.9238,-0.079219,1.0,0.0,0.0,1.0,0.0,6018.7,6.0187
